epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,32907.4,0.55109,0.44999,0.97954,0.67647,0.6991,0.74042,0.61788,0.88633,1.36719,1.34457,0.000785798,0.000785798,0.000785798
79,33291.9,0.54741,0.44142,0.97642,0.67799,0.69855,0.74063,0.61782,0.8863,1.36468,1.34528,0.000780653,0.000780653,0.000780653
80,33676.9,0.54502,0.44142,0.97262,0.67792,0.69819,0.74032,0.61753,0.88645,1.36262,1.34655,0.000775465,0.000775465,0.000775465
81,34107.9,0.54004,0.44464,0.9724,0.67914,0.69661,0.73976,0.61724,0.8867,1.36046,1.34734,0.000770234,0.000770234,0.000770234
82,34637.5,0.54257,0.4461,0.9753,0.68246,0.69353,0.74037,0.61803,0.8873,1.35981,1.34833,0.000764961,0.000764961,0.000764961
83,35164.1,0.53551,0.44219,0.97425,0.67893,0.69502,0.74023,0.61819,0.88687,1.35886,1.34825,0.000759648,0.000759648,0.000759648
84,35562.6,0.53544,0.44404,0.97002,0.67881,0.69515,0.73989,0.61815,0.88726,1.35614,1.34912,0.000754293,0.000754293,0.000754293
85,35943.1,0.53655,0.43971,0.97005,0.67819,0.69457,0.74033,0.61867,0.88686,1.35699,1.34895,0.0007489,0.0007489,0.0007489
86,36323,0.52845,0.43844,0.96715,0.67819,0.69471,0.73992,0.61853,0.88655,1.35682,1.34897,0.000743468,0.000743468,0.000743468
87,36704.9,0.52573,0.43371,0.96514,0.67974,0.69495,0.74018,0.61854,0.88641,1.35739,1.34936,0.000737998,0.000737998,0.000737998
88,37085.7,0.52709,0.43291,0.96743,0.67941,0.69467,0.74047,0.619,0.88591,1.35601,1.34918,0.000732492,0.000732492,0.000732492
89,37465.4,0.51983,0.43069,0.96337,0.67822,0.6968,0.74068,0.61946,0.88564,1.35557,1.34987,0.00072695,0.00072695,0.00072695
90,37845.3,0.51812,0.4284,0.95896,0.67768,0.69718,0.74127,0.62028,0.88507,1.35542,1.35022,0.000721372,0.000721372,0.000721372
91,38224.7,0.51485,0.4254,0.95636,0.67737,0.69776,0.74185,0.62105,0.88468,1.35672,1.35021,0.000715761,0.000715761,0.000715761
92,38604.9,0.51471,0.42591,0.95578,0.67845,0.69648,0.7418,0.62164,0.88476,1.35657,1.35053,0.000710116,0.000710116,0.000710116
93,38984.8,0.51106,0.42425,0.95273,0.6795,0.69533,0.74201,0.62238,0.8843,1.36033,1.35043,0.000704439,0.000704439,0.000704439
94,39366,0.51458,0.42458,0.95331,0.67945,0.69499,0.74272,0.62306,0.8846,1.35994,1.35158,0.00069873,0.00069873,0.00069873
95,39746.1,0.5109,0.4242,0.95383,0.67957,0.69477,0.74384,0.62452,0.88327,1.35911,1.35035,0.000692991,0.000692991,0.000692991
