                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.57452,                0.31941,                 0.9626,                0.90666,                0.90076,                0.92476,                0.70398,                0.78472,                0.44816,                0.99794,             0.00011338,             0.00011338,             0.00011338
                     71,                0.57064,                0.31827,                0.96167,                0.90369,                0.90397,                 0.9253,                0.70579,                 0.7814,                0.44719,                0.99513,             0.00010702,             0.00010702,             0.00010702
                     72,                0.56934,                0.31901,                0.96236,                0.90575,                0.91015,                0.92579,                0.70461,                0.78217,                0.44545,                0.99698,             0.00010081,             0.00010081,             0.00010081
                     73,                0.56551,                0.31559,                0.96109,                0.90595,                0.90951,                0.92726,                0.70847,                 0.7785,                0.44416,                0.99613,             9.4738e-05,             9.4738e-05,             9.4738e-05
                     74,                0.56264,                0.31008,                0.95799,                0.92255,                0.89448,                0.92922,                0.70933,                0.77542,                0.44224,                0.99476,             8.8825e-05,             8.8825e-05,             8.8825e-05
                     75,                0.56146,                0.31283,                0.95707,                0.91407,                0.90476,                0.92787,                0.71047,                0.77525,                0.43936,                0.99578,             8.3075e-05,             8.3075e-05,             8.3075e-05
                     76,                0.55874,                0.31055,                0.95724,                0.91601,                0.90107,                0.92723,                0.71028,                0.77793,                 0.4366,                 1.0008,             7.7491e-05,             7.7491e-05,             7.7491e-05
                     77,                0.55845,                0.30978,                0.95457,                0.92042,                0.89623,                0.92745,                0.70965,                0.77684,                0.43644,                 1.0001,              7.208e-05,              7.208e-05,              7.208e-05
                     78,                0.55367,                0.30617,                0.95388,                0.92132,                0.89644,                0.92724,                0.70925,                0.77815,                0.43666,                 1.0029,             6.6848e-05,             6.6848e-05,             6.6848e-05
                     79,                0.55177,                0.30536,                0.95355,                0.92097,                0.89829,                0.92884,                0.71013,                0.77606,                0.43631,                 1.0012,             6.1798e-05,             6.1798e-05,             6.1798e-05
                     80,                0.55115,                0.30391,                0.95093,                0.91496,                0.90404,                 0.9275,                0.71089,                 0.7755,                0.43517,                 1.0023,             5.6937e-05,             5.6937e-05,             5.6937e-05
                     81,                0.54328,                0.30187,                0.95034,                0.91372,                0.90455,                0.92877,                0.71149,                0.78122,                0.43125,                 1.0121,             5.2268e-05,             5.2268e-05,             5.2268e-05
                     82,                0.54825,                0.30103,                0.95021,                0.92073,                0.89859,                0.92896,                0.71071,                 0.7811,                0.43179,                 1.0109,             4.7798e-05,             4.7798e-05,             4.7798e-05
                     83,                0.54754,                0.30286,                0.95117,                0.92212,                0.89825,                0.92893,                0.71023,                0.78091,                0.43144,                 1.0116,             4.3529e-05,             4.3529e-05,             4.3529e-05
                     84,                0.54123,                 0.3025,                0.94965,                0.91946,                0.89903,                0.92868,                0.71132,                0.77858,                0.43035,                 1.0117,             3.9466e-05,             3.9466e-05,             3.9466e-05
                     85,                0.54208,                0.29924,                0.94984,                0.91965,                0.89941,                 0.9284,                0.71178,                0.77825,                0.42973,                 1.0126,             3.5614e-05,             3.5614e-05,             3.5614e-05
                     86,                0.54099,                 0.2978,                0.94633,                0.92191,                0.90145,                0.92975,                0.71269,                0.77632,                0.42898,                 1.0111,             3.1976e-05,             3.1976e-05,             3.1976e-05
                     87,                0.54078,                0.29967,                0.94682,                0.92437,                0.90011,                0.92965,                 0.7129,                0.77676,                0.42777,                  1.013,             2.8555e-05,             2.8555e-05,             2.8555e-05
                     88,                0.54101,                0.29795,                0.94566,                0.91984,                0.90263,                 0.9299,                0.71305,                0.77787,                0.42759,                 1.0152,             2.5356e-05,             2.5356e-05,             2.5356e-05
                     89,                0.53779,                0.29865,                0.94398,                0.91964,                0.90253,                0.92957,                0.71259,                0.77716,                0.42728,                 1.0149,              2.238e-05,              2.238e-05,              2.238e-05
                     90,                 0.5368,                0.29747,                0.94616,                 0.9179,                0.90313,                0.92981,                0.71326,                0.77705,                0.42715,                 1.0154,             1.9632e-05,             1.9632e-05,             1.9632e-05
                     91,                0.53836,                0.29754,                0.94673,                0.91861,                0.90147,                0.92992,                0.71346,                0.77676,                 0.4279,                 1.0151,             1.7114e-05,             1.7114e-05,             1.7114e-05
                     92,                0.53291,                0.29733,                0.94398,                0.91871,                0.90183,                0.92984,                0.71352,                0.77683,                0.42787,                  1.015,             1.4827e-05,             1.4827e-05,             1.4827e-05
                     93,                0.53463,                0.29576,                0.94551,                0.91797,                0.90208,                0.92882,                0.71286,                0.77667,                0.42782,                 1.0154,             1.2776e-05,             1.2776e-05,             1.2776e-05
                     94,                 0.5336,                0.29558,                0.94687,                0.91701,                0.90082,                0.92875,                0.71247,                0.77625,                 0.4278,                 1.0153,             1.0961e-05,             1.0961e-05,             1.0961e-05
                     95,                0.53154,                0.29328,                0.94451,                0.91692,                0.90303,                0.92878,                 0.7128,                0.77567,                0.42761,                 1.0148,             9.3839e-06,             9.3839e-06,             9.3839e-06
                     96,                0.53164,                0.29581,                 0.9465,                0.91224,                0.90357,                0.92876,                0.71245,                0.77559,                0.42733,                 1.0148,             8.0471e-06,             8.0471e-06,             8.0471e-06
                     97,                0.53268,                0.29732,                 0.9422,                0.91225,                0.90481,                0.92905,                0.71244,                0.77561,                0.42727,                 1.0147,             6.9516e-06,             6.9516e-06,             6.9516e-06
                     98,                0.53311,                0.29512,                0.94669,                0.91081,                0.90683,                0.92898,                0.71269,                0.77561,                0.42713,                 1.0147,             6.0984e-06,             6.0984e-06,             6.0984e-06
                     99,                 0.5304,                0.29271,                0.94134,                0.91029,                0.90725,                0.92908,                0.71317,                0.77633,                0.42725,                 1.0152,             5.4884e-06,             5.4884e-06,             5.4884e-06
                    100,                0.53536,                0.29597,                0.94468,                0.90969,                0.90655,                 0.9293,                0.71307,                0.77561,                0.42731,                 1.0143,             5.1221e-06,             5.1221e-06,             5.1221e-06
