                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.96611,                0.74729,                 1.2045,                0.87889,                0.83367,                0.89457,                 0.6115,                 1.0111,                0.56721,                 1.1554,             0.00024925,             0.00024925,             0.00024925
                    136,                0.96844,                0.75599,                 1.2125,                0.87612,                0.83536,                0.89439,                0.61138,                 1.0102,                0.56662,                 1.1549,             0.00024256,             0.00024256,             0.00024256
                    137,                 0.9673,                0.75385,                 1.2103,                0.87808,                0.83565,                0.89501,                0.61195,                 1.0095,                0.56609,                 1.1544,             0.00023593,             0.00023593,             0.00023593
                    138,                0.96928,                0.75063,                 1.2064,                0.87682,                0.83538,                0.89512,                0.61209,                 1.0088,                 0.5656,                 1.1541,             0.00022936,             0.00022936,             0.00022936
                    139,                0.96677,                0.75458,                 1.2064,                0.87303,                0.84208,                0.89545,                0.61292,                 1.0079,                0.56506,                 1.1535,             0.00022286,             0.00022286,             0.00022286
                    140,                0.96065,                0.74499,                 1.2033,                0.87686,                0.83631,                0.89564,                0.61293,                 1.0072,                0.56501,                  1.153,             0.00021643,             0.00021643,             0.00021643
                    141,                0.96238,                0.74337,                 1.2024,                0.87332,                0.84186,                0.89575,                0.61329,                 1.0065,                0.56433,                 1.1526,             0.00021008,             0.00021008,             0.00021008
                    142,                0.95579,                0.73538,                 1.1975,                0.87708,                0.83815,                 0.8957,                0.61418,                 1.0056,                0.56394,                 1.1521,             0.00020379,             0.00020379,             0.00020379
                    143,                0.95386,                0.74438,                 1.1975,                0.87593,                 0.8403,                0.89522,                 0.6141,                 1.0047,                 0.5634,                 1.1516,             0.00019758,             0.00019758,             0.00019758
                    144,                0.94685,                0.72978,                 1.1944,                0.87565,                0.84019,                0.89531,                 0.6144,                 1.0041,                0.56277,                 1.1514,             0.00019144,             0.00019144,             0.00019144
                    145,                0.94789,                0.73092,                 1.1958,                 0.8752,                0.84069,                0.89556,                0.61541,                 1.0033,                0.56242,                 1.1509,             0.00018538,             0.00018538,             0.00018538
                    146,                0.94432,                0.72686,                 1.1946,                0.87643,                0.84031,                0.89558,                0.61558,                 1.0025,                0.56212,                 1.1505,              0.0001794,              0.0001794,              0.0001794
                    147,                0.95088,                0.73378,                  1.198,                 0.8764,                0.84231,                0.89565,                0.61604,                 1.0019,                0.56174,                 1.1501,              0.0001735,              0.0001735,              0.0001735
                    148,                0.94526,                0.73446,                 1.1956,                 0.8755,                0.84467,                0.89588,                0.61614,                  1.001,                0.56132,                 1.1498,             0.00016768,             0.00016768,             0.00016768
                    149,                0.94632,                 0.7412,                  1.197,                0.87686,                0.84445,                0.89663,                0.61645,                 1.0003,                0.56091,                 1.1494,             0.00016194,             0.00016194,             0.00016194
                    150,                0.94498,                0.72738,                 1.1931,                0.88105,                0.84161,                  0.897,                0.61666,                0.99971,                0.56033,                 1.1492,             0.00015628,             0.00015628,             0.00015628
