======================================================================
SHOPLIFTING DETECTION LOG
Date: 2026-03-14 11:01:05
Source: C:\Users\vrajr\Downloads\WhatsApp Video 2026-03-10 at 00.45.09.mp4
Confidence: 0.15
Strategy: Best-of-Both-Models
======================================================================

Frame     88 | normal          | Conf: 0.7453 | Model: Fast Model (best)              | Box: [454, 100, 559, 375]
Frame     88 | normal          | Conf: 0.3192 | Model: Stable Model (150ep)           | Box: [456, 99, 562, 364]
Frame     89 | normal          | Conf: 0.7130 | Model: Fast Model (best)              | Box: [456, 100, 559, 376]
Frame     89 | normal          | Conf: 0.3369 | Model: Stable Model (150ep)           | Box: [456, 99, 562, 365]
Frame     90 | shoplifting     | Conf: 0.6109 | Model: Stable Model (150ep) (best)    | Box: [460, 108, 562, 365]
Frame     91 | shoplifting     | Conf: 0.5512 | Model: Stable Model (150ep) (best)    | Box: [462, 111, 560, 363]
Frame     92 | normal          | Conf: 0.4113 | Model: Fast Model (best)              | Box: [470, 99, 561, 375]
Frame     92 | normal          | Conf: 0.6213 | Model: Stable Model (150ep) (best)    | Box: [464, 96, 564, 364]
Frame     93 | normal          | Conf: 0.5715 | Model: Fast Model (best)              | Box: [471, 98, 562, 374]
Frame     93 | normal          | Conf: 0.6198 | Model: Stable Model (150ep)           | Box: [464, 94, 564, 365]
Frame     94 | normal          | Conf: 0.4640 | Model: Fast Model                     | Box: [473, 96, 568, 374]
Frame     94 | normal          | Conf: 0.8125 | Model: Stable Model (150ep)           | Box: [464, 91, 563, 366]
Frame     95 | normal          | Conf: 0.5539 | Model: Fast Model (best)              | Box: [474, 96, 571, 377]
Frame     95 | normal          | Conf: 0.7411 | Model: Stable Model (150ep)           | Box: [465, 91, 562, 366]
Frame     96 | normal          | Conf: 0.7508 | Model: Fast Model (best)              | Box: [474, 99, 574, 376]
Frame     96 | normal          | Conf: 0.6761 | Model: Stable Model (150ep)           | Box: [462, 88, 562, 369]
Frame     97 | normal          | Conf: 0.7060 | Model: Fast Model (best)              | Box: [472, 100, 569, 376]
Frame     97 | normal          | Conf: 0.5858 | Model: Stable Model (150ep)           | Box: [460, 84, 563, 370]
Frame     98 | normal          | Conf: 0.7032 | Model: Fast Model (best)              | Box: [469, 98, 560, 376]
Frame     98 | normal          | Conf: 0.2763 | Model: Stable Model (150ep)           | Box: [463, 82, 565, 367]
Frame     99 | normal          | Conf: 0.7453 | Model: Fast Model (best)              | Box: [468, 98, 561, 375]
Frame     99 | normal          | Conf: 0.5623 | Model: Stable Model (150ep)           | Box: [465, 81, 566, 364]
Frame    100 | normal          | Conf: 0.7325 | Model: Fast Model (best)              | Box: [467, 97, 558, 373]
Frame    100 | normal          | Conf: 0.3359 | Model: Stable Model (150ep)           | Box: [462, 85, 568, 371]
Frame    101 | normal          | Conf: 0.7710 | Model: Fast Model (best)              | Box: [465, 97, 559, 376]
Frame    101 | normal          | Conf: 0.5117 | Model: Stable Model (150ep)           | Box: [460, 85, 566, 377]
Frame    102 | normal          | Conf: 0.7677 | Model: Fast Model (best)              | Box: [465, 98, 559, 375]
Frame    103 | normal          | Conf: 0.7038 | Model: Fast Model (best)              | Box: [464, 100, 557, 371]
Frame    103 | normal          | Conf: 0.3562 | Model: Stable Model (150ep) (best)    | Box: [453, 82, 565, 383]
Frame    104 | normal          | Conf: 0.7577 | Model: Fast Model (best)              | Box: [461, 103, 559, 370]
Frame    105 | normal          | Conf: 0.6786 | Model: Fast Model (best)              | Box: [462, 103, 561, 371]
Frame    105 | shoplifting     | Conf: 0.2654 | Model: Fast Model                     | Box: [462, 105, 563, 370]
Frame    106 | normal          | Conf: 0.7086 | Model: Fast Model (best)              | Box: [460, 104, 564, 368]
