======================================================================
ENSEMBLE SHOPLIFTING DETECTION LOG
======================================================================

Models: 2
Merge method: Weighted Box Fusion (WBF)
Model weights: [0.45, 0.55]
Confidence: 0.2

Total frames processed: 201
Total detections: 319

----------------------------------------------------------------------
DETECTIONS:
----------------------------------------------------------------------
Frame    108 | normal          | Conf: 0.5315 | Box: [455, 95, 563, 367]
Frame    108 | shoplifting     | Conf: 0.3689 | Box: [454, 87, 562, 363]
Frame    109 | normal          | Conf: 0.5287 | Box: [454, 96, 562, 366]
Frame    109 | shoplifting     | Conf: 0.3635 | Box: [454, 86, 563, 360]
Frame    110 | normal          | Conf: 0.3639 | Box: [454, 99, 568, 370]
Frame    110 | shoplifting     | Conf: 0.3502 | Box: [454, 86, 563, 362]
Frame    111 | normal          | Conf: 0.5292 | Box: [453, 93, 566, 367]
Frame    111 | shoplifting     | Conf: 0.3496 | Box: [455, 86, 562, 362]
Frame    112 | normal          | Conf: 0.5831 | Box: [451, 92, 568, 368]
Frame    112 | shoplifting     | Conf: 0.3032 | Box: [453, 89, 563, 364]
Frame    113 | normal          | Conf: 0.6136 | Box: [451, 95, 565, 371]
Frame    113 | shoplifting     | Conf: 0.2966 | Box: [451, 91, 561, 367]
Frame    114 | normal          | Conf: 0.6067 | Box: [450, 92, 564, 370]
Frame    114 | shoplifting     | Conf: 0.3104 | Box: [451, 88, 562, 366]
Frame    115 | normal          | Conf: 0.5921 | Box: [450, 88, 566, 368]
Frame    115 | shoplifting     | Conf: 0.3165 | Box: [453, 85, 564, 364]
Frame    116 | normal          | Conf: 0.5783 | Box: [451, 84, 563, 367]
Frame    116 | shoplifting     | Conf: 0.3189 | Box: [455, 85, 566, 363]
Frame    117 | normal          | Conf: 0.6199 | Box: [451, 86, 563, 366]
Frame    117 | shoplifting     | Conf: 0.2957 | Box: [455, 86, 564, 362]
Frame    118 | normal          | Conf: 0.6274 | Box: [451, 88, 562, 367]
Frame    118 | shoplifting     | Conf: 0.2643 | Box: [454, 87, 565, 364]
Frame    119 | normal          | Conf: 0.6442 | Box: [454, 88, 563, 369]
Frame    119 | shoplifting     | Conf: 0.2353 | Box: [456, 88, 565, 369]
Frame    120 | normal          | Conf: 0.6291 | Box: [452, 89, 567, 365]
Frame    120 | shoplifting     | Conf: 0.3373 | Box: [455, 86, 564, 363]
Frame    121 | normal          | Conf: 0.3702 | Box: [457, 96, 575, 365]
Frame    121 | shoplifting     | Conf: 0.3543 | Box: [457, 87, 565, 359]
Frame    122 | normal          | Conf: 0.5898 | Box: [458, 92, 574, 363]
Frame    122 | shoplifting     | Conf: 0.3007 | Box: [460, 87, 573, 361]
Frame    123 | normal          | Conf: 0.6007 | Box: [459, 94, 574, 362]
